# HallCalibrationCurve

idn                           	32
date                          	2020-07-29
hour                          	00:00:00
calibration_name              	2020-07-29_Probe133-14Y_M3_3T
probe_name                    	133-14Y
calibration_magnet            	GMWDipole
function_type                 	polynomial
voltage_min                   	-16.0
voltage_max                   	16.0
voltage_offset                	-0.000183
polynomial_coeffs             	[0.0,0.200242755489639,-1.4851310352838007e-06,2.9004784215955092e-05,0.0,-1.0054281769956642e-06,0.0,7.575961915416023e-09,0.0,-1.3009046335876535e-11]

voltage	magnetic_field	probe_temperature	electronic_box_temperature
----------------------------------------------------------------------------------------
-1.4211078850e+01	-2.9259074000e+00	+2.3676837500e+01	+2.7568031500e+01
-1.4148339940e+01	-2.9099817000e+00	+2.3722587500e+01	+2.7560969000e+01
-1.4078881490e+01	-2.8921432200e+00	+2.3714150000e+01	+2.7579656500e+01
-1.4002351860e+01	-2.8728663700e+00	+2.3687462500e+01	+2.7586656500e+01
-1.3919476240e+01	-2.8520199700e+00	+2.3691400000e+01	+2.7576781500e+01
-1.3828863910e+01	-2.8294736100e+00	+2.3682275000e+01	+2.7564344000e+01
-1.3729985520e+01	-2.8051344000e+00	+2.3668837500e+01	+2.7538219000e+01
-1.3622684410e+01	-2.7788787000e+00	+2.3663025000e+01	+2.7586469000e+01
-1.0432047532e+01	-2.0812533356e+00	+2.4022901000e+01	+2.7665594000e+01
-9.9742972669e+00	-1.9890391860e+00	+2.4033463500e+01	+2.7654219000e+01
-9.4819562426e+00	-1.8907200419e+00	+2.4022526000e+01	+2.7646906500e+01
-9.0471749332e+00	-1.8045360314e+00	+2.4050963500e+01	+2.7619031500e+01
-8.4497629488e+00	-1.6865567547e+00	+2.4066776000e+01	+2.7614219000e+01
-7.9559321196e+00	-1.5892200131e+00	+2.4072463500e+01	+2.7646844000e+01
-7.3991280181e+00	-1.4794853372e+00	+2.4084088500e+01	+2.7651219000e+01
-6.9504713029e+00	-1.3908447581e+00	+2.4095026000e+01	+2.7674219000e+01
-6.4738432552e+00	-1.2964185244e+00	+2.4118588500e+01	+2.7699031500e+01
-5.9792189790e+00	-1.1981282767e+00	+2.4126838500e+01	+2.7667969000e+01
-5.4734765311e+00	-1.0972844435e+00	+2.4161713500e+01	+2.7665281500e+01
-4.9638478943e+00	-9.9536814419e-01	+2.4183901000e+01	+2.7679969000e+01
-4.9628992537e+00	-9.9511682907e-01	+2.4407903000e+01	+2.7627344000e+01
-4.4495628047e+00	-8.9230706395e-01	+2.4214338500e+01	+2.7668844000e+01
-4.4482448573e+00	-8.9199073605e-01	+2.4444090500e+01	+2.7599719000e+01
-3.9353632907e+00	-7.8907965698e-01	+2.4273088500e+01	+2.7686781500e+01
-3.9330723326e+00	-7.8858097209e-01	+2.4475090500e+01	+2.7625156500e+01
-3.4226401785e+00	-6.8611258966e-01	+2.4261588500e+01	+2.7691844000e+01
-3.4172742370e+00	-6.8501424302e-01	+2.4507153000e+01	+2.7588406500e+01
-3.0747081516e+00	-6.1620530698e-01	+2.4533778000e+01	+2.7625156500e+01
-2.5601442478e+00	-5.1293639884e-01	+2.4582715500e+01	+2.7637969000e+01
-2.5556498985e+00	-5.1205060465e-01	+2.4705653000e+01	+2.7625844000e+01
-2.0472445790e+00	-4.1006996782e-01	+2.4569465500e+01	+2.7597969000e+01
-2.0398830323e+00	-4.0858969419e-01	+2.4729278000e+01	+2.7596719000e+01
-1.5237768790e+00	-3.0516469419e-01	+2.4753653000e+01	+2.7563906500e+01
-1.0146990042e+00	-2.0320782644e-01	+2.4755278000e+01	+2.7553844000e+01
-1.0124203566e+00	-2.0276126977e-01	+2.4889654000e+01	+2.7613469000e+01
-5.0383107491e-01	-1.0091577093e-01	+2.4905341500e+01	+2.7622844000e+01
+5.1998493940e-01	+1.0411407093e-01	+2.4904154000e+01	+2.7585969000e+01
+1.0188447390e+00	+2.0403235176e-01	+2.4912716000e+01	+2.7647281500e+01
+1.0564343826e+00	+2.1150450930e-01	+2.4770215500e+01	+2.7579469000e+01
+1.5660748340e+00	+3.1357181977e-01	+2.4738215500e+01	+2.7596406500e+01
+2.0719972755e+00	+4.1494821512e-01	+2.4723153000e+01	+2.7574031500e+01
+2.1152380334e+00	+4.2360285116e-01	+2.4535465500e+01	+2.7590469000e+01
+2.5749386715e+00	+5.1579446744e-01	+2.4817715500e+01	+2.7569406500e+01
+2.6289027442e+00	+5.2661442326e-01	+2.4524215500e+01	+2.7584219000e+01
+3.1433397026e+00	+6.2984540814e-01	+2.4521840500e+01	+2.7578344000e+01
+3.4769991584e+00	+6.9683921744e-01	+2.4510465500e+01	+2.7568219000e+01
+3.5285663023e+00	+7.0720114884e-01	+2.4258963500e+01	+2.7677156500e+01
+3.9843885173e+00	+7.9867742326e-01	+2.4469653000e+01	+2.7568219000e+01
+4.0460907935e+00	+8.1111922326e-01	+2.4231901000e+01	+2.7674969000e+01
+4.4900382076e+00	+9.0012162209e-01	+2.4459028000e+01	+2.7547844000e+01
+4.5640552780e+00	+9.1502303023e-01	+2.4227651000e+01	+2.7646344000e+01
+4.9931992809e+00	+1.0008812488e+00	+2.4458528000e+01	+2.7560094000e+01
+5.0790149386e+00	+1.0181478477e+00	+2.4210838500e+01	+2.7638469000e+01
+5.5916475167e+00	+1.1205792023e+00	+2.4192276000e+01	+2.7638656500e+01
+6.0951637410e+00	+1.2208425905e+00	+2.4176963500e+01	+2.7661844000e+01
+6.5834040294e+00	+1.3178058372e+00	+2.4185838500e+01	+2.7642344000e+01
+7.0479042040e+00	+1.4097006233e+00	+2.4186463500e+01	+2.7647969000e+01
+7.4878412709e+00	+1.4966119775e+00	+2.4156338500e+01	+2.7666656500e+01
+8.0292147201e+00	+1.6033050500e+00	+2.4161588500e+01	+2.7651344000e+01
+8.5076675433e+00	+1.6975516321e+00	+2.4177651000e+01	+2.7597844000e+01
+9.0814525837e+00	+1.8107895814e+00	+2.4170838500e+01	+2.7616406500e+01
+9.5026720635e+00	+1.8943027558e+00	+2.4159838500e+01	+2.7592906500e+01
